1 1 0.000164
2 1 0.000217
5 1 0.000406
1 1 0.000133
1 1 0.000125
1 1 0.000134
1 1 0.000134
3 1 0.000000
1 1 0.000000
2 1 0.000000
1 2 0.001157
2 2 0.000608
5 2 0.001458
2 2 0.000000
1 1 0.000148
1 1 0.000131
3 1 0.000206
1 1 0.000120
3 1 0.000220
1 1 0.000117
1 1 0.000115
4 1 0.000199
1 1 0.000128
3 1 0.000682
3 2 0.000741
1 2 0.000302
12 2 0.001130
4 2 0.000000
3 2 0.000000
14 2 0.002932
1 2 0.000000
1 2 0.000000
18 2 0.003839
1 2 0.000000
3 3 0.002122
2 3 0.002701
1 3 0.001048
1 3 0.001868
5 3 0.001833
1 3 0.002091
1 3 0.000000
1 3 0.000971
1 3 0.000961
